time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-08 00:00:00+00:00,2,2,13.0,3.0
2025-07-09 00:00:00+00:00,5,5,24.0,2.0
2025-07-10 00:00:00+00:00,1,1,1.0,1.0
2025-07-11 00:00:00+00:00,7,7,6.0,3.0
2025-07-12 00:00:00+00:00,7,7,7.0,1.0
2025-07-13 00:00:00+00:00,3,3,11.0,2.0
2025-07-14 00:00:00+00:00,1,1,17.0,1.0
2025-07-15 00:00:00+00:00,1,1,,
2025-07-16 00:00:00+00:00,2,2,10.0,2.0
2025-07-17 00:00:00+00:00,1,1,10.0,1.0
2025-07-18 00:00:00+00:00,1,1,3.0,1.0
2025-07-19 00:00:00+00:00,3,3,5.0,1.0
2025-07-20 00:00:00+00:00,1,1,8.0,1.0
